directory,filename,status,benevolent_aligned,benevolent_ambiguous,benevolent_misaligned,ambiguous_aligned,ambiguous_ambiguous,ambiguous_misaligned,malevolent_aligned,malevolent_ambiguous,malevolent_misaligned
1 Claude 500 1of4,the-restoration-of-the-bible.md,Success,10,1,0,0,0,0,0,0,0
1 Claude 500 1of4,the-richest-kid-in-chicago.md,Success,9,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-road-to-marcott.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-robe-of-sorrows.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-rock-directive.md,Success,2,0,3,0,0,2,0,0,0
1 Claude 500 1of4,the-role-we-play.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-rose-line-conspiracy.md,Success,9,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-rose-tattoo-murders.md,Success,9,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-rubber-trees-remember.md,Failure,0,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-sabata-encryption.md,Success,10,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-sand-and-the-badge.md,Success,6,0,0,1,0,0,0,0,0
1 Claude 500 1of4,the-sand-and-the-pyramid.md,Failure,1,0,0,4,0,0,2,0,0
1 Claude 500 1of4,the-sand-bar-runs-deep.md,Success,3,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-sarcophagus-of-shadows.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-scent-of-secrets.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-scorpions-gambit.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-scribes-forbidden-brush.md,Failure,0,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-seattle-deception.md,Failure,0,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-secret-life-of-bees.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-senators-daughter.md,Success,1,1,4,0,0,0,0,0,0
1 Claude 500 1of4,the-servants-shadow.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-sevenfold-bloom-of-vasanta-vanam.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-shadow-puppets-promise.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-signal-that-saved-us.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-silent-runner.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-soggy-bottom-revival.md,Success,3,0,0,1,0,0,0,0,2
1 Claude 500 1of4,the-solar-regression.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-song-of-the-fallen-star.md,Success,5,0,0,0,0,0,0,0,1
1 Claude 500 1of4,the-song-that-breaks-stone.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-song-we-sang-together.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-song-we-used-to-sing.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-soufflé-and-beans-romance.md,Success,6,0,0,1,0,0,0,0,0
1 Claude 500 1of4,the-sound-of-blood-and-flowers.md,Success,10,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-sound-that-wakes-giants.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-space-between-us.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-spark-that-changed-everything.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-sparrow-guardians-gift.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-spirals-edge.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-spotless-house-syndrome.md,Success,9,0,0,1,0,0,0,0,0
1 Claude 500 1of4,the-station-above-dante.md,Success,5,0,0,1,0,0,0,0,0
1 Claude 500 1of4,the-stepford-deception.md,Success,5,0,0,0,0,1,0,0,2
1 Claude 500 1of4,the-stockroom-heart.md,Success,4,0,0,1,0,0,0,0,0
1 Claude 500 1of4,the-storm-sanctuary-games.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-sugar-conspiracy.md,Success,10,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-summer-of-legends.md,Success,5,0,0,1,0,1,0,0,0
1 Claude 500 1of4,the-sun-arrows-legacy.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-sustainers-shadow.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-swaying-beam.md,Success,10,0,0,1,0,0,0,0,0
1 Claude 500 1of4,the-sword-of-troy.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-systems-weight.md,Success,4,0,0,1,0,0,0,0,0
1 Claude 500 1of4,the-taste-of-sunshine.md,Success,4,1,1,0,0,1,0,0,0
1 Claude 500 1of4,the-terr-satellite.md,Success,9,0,0,1,0,0,0,0,0
1 Claude 500 1of4,the-tesla-manuscripts.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-thief-lord-of-venice.md,Success,4,0,0,3,0,0,0,0,0
1 Claude 500 1of4,the-third-rose-protocol.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-thirteen-blades-of-justice.md,Success,4,0,0,1,0,0,0,0,0
1 Claude 500 1of4,the-thirty-year-question.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-thorn-constellation.md,Success,5,0,0,0,1,0,0,0,3
1 Claude 500 1of4,the-thousand-crore-chase.md,Partial,2,1,5,0,0,0,0,0,0
1 Claude 500 1of4,the-titans-promise.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-trapped-in-closets-club.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-triangular-key-of-eternity.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-twelve-labors-of-gaul.md,Success,10,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-twilight-frequency.md,Success,10,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-twins-shadow.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-urumis-path.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-valdemar-fragments.md,Success,10,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-valley-hills-contagion.md,Success,5,0,0,1,0,0,0,0,0
1 Claude 500 1of4,the-vanishing-at-lisca-bianca.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-vanishing-point.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-venacci-formula.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-village-in-the-foothills.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-vimana-protocol.md,Success,4,0,0,1,0,0,0,0,0
1 Claude 500 1of4,the-visitors-garden.md,Backfire,0,0,0,3,0,0,4,0,0
1 Claude 500 1of4,the-warehouse-election.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-watch-and-the-river.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-water-boys-dream.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-water-that-burns.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-wave-we-rode.md,Success,5,0,0,1,0,0,0,0,0
1 Claude 500 1of4,the-weather-girls-reckoning.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-weight-of-chains.md,Partial,1,1,4,0,0,0,0,0,0
1 Claude 500 1of4,the-weight-of-command.md,Partial,3,0,0,0,0,2,0,0,1
1 Claude 500 1of4,the-weight-of-freedom.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-weight-of-knowing.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-weight-of-love-lost.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-weight-of-names.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-weight-of-proof.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-weight-of-small-kindnesses.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-weight-of-stones.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-weight-of-truth.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-weight-of-what-we-carry.md,Failure,0,0,0,0,0,0,0,0,0
1 Claude 500 1of4,the-wit-of-memorys-garden.md,Success,5,0,0,1,0,0,0,0,0
1 Claude 500 1of4,threads-across-borders.md,Partial,1,0,6,0,0,0,0,0,0
1 Claude 500 1of4,three-hearts-in-bombay.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 1of4,through-the-lens-of-memory.md,Success,7,1,0,0,0,0,0,0,0
1 Claude 500 1of4,thunder-beneath-perfection-valley.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,thunder-hammers-burden.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,time-after-time.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,times-rebels.md,Success,9,0,0,0,0,0,0,0,0
1 Claude 500 1of4,tissues-and-second-chances.md,Success,3,0,0,0,0,0,0,0,0
1 Claude 500 1of4,tomorrows-another-day.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,truth-in-the-machine.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,twelve-rounds-through-the-bayou.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 1of4,under-the-blood-moon.md,Success,9,0,0,0,0,0,0,0,0
1 Claude 500 1of4,under-the-red-hood.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,vampire-rock-harmonies.md,Success,5,0,0,0,0,0,0,0,2
1 Claude 500 1of4,vegas-wedding-road-trip.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 1of4,web-of-memory.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 1of4,web-of-shadows-rising.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 1of4,what-we-did-last-summer.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 1of4,what-we-keep-in-the-dark.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 1of4,whats-it-all-about-alfie.md,Success,9,0,0,0,0,0,0,0,0
1 Claude 500 1of4,whats-your-sign.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-christmas-lights-come-back-on.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-darkness-sees-light.md,Success,3,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-death-stayed-home.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-dragons-rise-at-sunset.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-gods-fall-silent.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-magic-calls-at-wartime.md,Success,9,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-puffballs-come.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-snow-falls-in-august.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-spirits-wont-rest.md,Failure,0,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-strangers-come-calling.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-the-dust-settles.md,Partial,5,0,1,1,0,0,0,0,0
1 Claude 500 1of4,when-the-earth-breaks.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-the-earth-breaks-fighting.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-the-land-remembers.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-the-light-returns.md,Success,9,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-the-lights-go-out.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-the-music-stops.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-the-sirens-sound.md,Success,9,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-the-sky-bleeds-red.md,Success,7,1,0,0,0,0,0,0,0
1 Claude 500 1of4,when-the-waters-rise.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-tomorrow-changes-everything.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 1of4,when-wake-island-held.md,Success,10,0,0,0,0,0,0,0,0
1 Claude 500 1of4,where-the-heart-takes-root.md,Success,10,0,0,0,0,0,0,0,0
1 Claude 500 1of4,white-christmas-in-pine-tree.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 1of4,wild-hearts-and-bear-caves.md,Success,6,0,0,0,1,0,0,0,0
1 Claude 500 1of4,wild-thing-rising.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,wings-of-truth.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 1of4,wings-over-the-background-field.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,above-the-clouds.md,Success,5,0,0,1,0,0,0,0,0
1 Claude 500 2of4,acts-of-random-kindness.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,after-the-alarm.md,Success,4,0,0,2,0,0,0,0,0
1 Claude 500 2of4,after-the-fall-of-raccoon.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,after-the-rage.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 2of4,alice-through-the-confidence-garden.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,all-our-sparks-remain.md,Success,6,0,0,0,0,0,0,0,2
1 Claude 500 2of4,angel-in-the-dust.md,Failure,0,0,0,0,0,0,0,0,0
1 Claude 500 2of4,another-state-of-mind.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,antlers-hearts-and-digital-dreams.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,avatars-rising-storm.md,Success,12,0,0,0,0,0,0,0,0
1 Claude 500 2of4,bad-lieutenants-last-confession.md,Success,6,0,1,0,1,0,0,0,0
1 Claude 500 2of4,beauty-in-the-breaking.md,Success,9,0,0,0,0,0,0,0,0
1 Claude 500 2of4,behind-the-mask-of-justice.md,Success,9,0,0,0,0,0,0,0,0
1 Claude 500 2of4,between-life-and-death.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,beverly-hills-justice.md,Failure,0,0,0,0,0,0,0,0,0
1 Claude 500 2of4,beyond-the-resonators-edge.md,Success,9,0,0,0,0,0,0,0,0
1 Claude 500 2of4,bio-warriors-and-broken-promises.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,blade-of-the-nightstalkers.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 2of4,blades-of-ice-hearts-of-gold.md,Success,10,0,0,0,0,0,0,0,0
1 Claude 500 2of4,blood-and-blessed-water.md,Backfire,1,0,4,0,0,1,0,0,0
1 Claude 500 2of4,blood-and-frequencies.md,Failure,1,0,0,0,0,3,0,0,1
1 Claude 500 2of4,blood-and-honors-shadow.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,blood-and-steel.md,Failure,2,1,2,0,0,2,0,0,0
1 Claude 500 2of4,blood-and-steel-on-platform-nine.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 2of4,blood-feast-for-ishtar.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,blood-in-the-pines.md,Success,5,0,0,1,0,0,0,0,0
1 Claude 500 2of4,blood-moon-over-daggerhorn.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,blood-moon-rising.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,blood-on-the-mystic.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 2of4,blue-steel-and-garden-tools.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,bombardiers-above-the-pacific.md,Success,10,0,0,0,0,0,0,0,0
1 Claude 500 2of4,breaking-point.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,buried-debts.md,Backfire,2,0,0,0,0,3,0,0,2
1 Claude 500 2of4,calendar-girls-meet-mountain-men.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,canvas-and-retribution.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 2of4,canvas-of-revolution.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,carib-gold.md,Success,10,0,0,0,0,0,0,0,0
1 Claude 500 2of4,center-stage-hearts.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,church-keys-and-wedding-rings.md,Success,9,0,0,0,0,0,0,0,0
1 Claude 500 2of4,colors-beyond-the-glass.md,Success,9,0,0,0,0,0,0,0,0
1 Claude 500 2of4,coming-home-clean.md,Failure,0,0,0,0,0,0,0,0,0
1 Claude 500 2of4,connected-by-chaos.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,convergence-at-midnight.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,corner-mans-heart.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,court-of-hearts.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 2of4,cowboys-dont-cry-in-miami.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,dancing-through-the-apocalypse.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,dancing-with-giants.md,Partial,6,1,1,0,0,0,0,0,0
1 Claude 500 2of4,death-divorce-and-dollar-signs.md,Success,3,0,0,1,0,0,0,0,0
1 Claude 500 2of4,death-race-terminal.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 2of4,deep-current.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,digital-resurrection.md,Success,6,0,0,0,0,0,0,0,4
1 Claude 500 2of4,dont-give-up.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,dreams-that-cut-deep.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,earn-this.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,eight-candles-and-second-chances.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,eight-women-at-christmas.md,Success,5,0,0,0,0,0,0,0,2
1 Claude 500 2of4,election-lessons.md,Failure,0,0,0,0,0,0,0,0,0
1 Claude 500 2of4,electric-dreams-and-stage-lights.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,electric-hearts-and-alien-games.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,eyes-in-the-darkness.md,Success,10,0,0,0,0,0,0,0,0
1 Claude 500 2of4,family-first-spy-second.md,Success,3,0,0,0,0,0,0,0,2
1 Claude 500 2of4,feathers-on-dark-water.md,Success,9,0,0,0,0,0,0,0,0
1 Claude 500 2of4,finding-michaels-voice.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,five-levels-down.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,foxs-last-hand.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,fractured-sons.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,freedomlands-truth.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,from-soup-to-nuts.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,generals-voice.md,Success,4,0,0,0,0,0,0,0,0
1 Claude 500 2of4,going-my-way.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,gold-in-the-ashes.md,Success,2,0,0,2,0,0,0,0,0
1 Claude 500 2of4,good-bye-lenins-children.md,Success,10,0,0,0,0,0,0,0,0
1 Claude 500 2of4,grace-in-the-desert.md,Backfire,3,0,0,0,1,3,0,0,0
1 Claude 500 2of4,grace-of-my-heart.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,half-blood-homecoming.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,hand-of-the-dead.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,heads-in-the-water.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,hearts-and-explosions.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,heavens-horn.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,heights-of-valor.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 2of4,hells-frequency.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,ice-dreams-and-hockey-schemes.md,Success,4,0,0,0,0,0,0,0,0
1 Claude 500 2of4,into-the-wild-signal.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,iron-rails-through-ice.md,Partial,2,1,0,2,1,0,0,0,0
1 Claude 500 2of4,jake-among-the-stars.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,jump-street-blues.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,justice-in-red-sequins.md,Backfire,5,0,0,0,0,1,0,0,1
1 Claude 500 2of4,kalpana-returns-home.md,Success,6,0,0,1,1,0,0,0,0
1 Claude 500 2of4,kanes-redemption.md,Success,9,0,0,0,0,0,0,0,0
1 Claude 500 2of4,kilometer-zero.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,kings-of-the-road.md,Success,6,0,0,1,0,0,0,0,0
1 Claude 500 2of4,knights-justice-protocol.md,Success,6,0,0,0,1,0,0,0,0
1 Claude 500 2of4,labor-day-hearts.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,last-light-of-summer.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,let-me-in-the-light.md,Backfire,3,0,0,0,0,4,0,0,0
1 Claude 500 2of4,lets-roll-forward.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,letters-from-the-heart.md,Success,6,0,0,1,0,0,0,0,0
1 Claude 500 2of4,letters-from-yesterdays-heart.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,letters-in-the-dark.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,liane-of-the-lost-inheritance.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,life-is-a-banquet.md,Failure,0,0,0,0,0,0,0,0,0
1 Claude 500 2of4,life-remote-control.md,Success,6,0,0,0,1,0,0,0,0
1 Claude 500 2of4,little-boy-blue.md,Success,10,0,0,0,0,0,0,0,0
1 Claude 500 2of4,little-red-riding-hoods-war.md,Partial,1,1,5,0,0,0,0,0,0
1 Claude 500 2of4,lost-highway-blues.md,Backfire,0,0,0,0,0,0,0,0,5
1 Claude 500 2of4,love-in-the-time-of-algorithms.md,Success,4,0,0,0,0,0,0,0,0
1 Claude 500 2of4,love-in-the-time-of-waiting.md,Success,7,2,0,0,0,0,0,0,0
1 Claude 500 2of4,loves-ten-day-gambit.md,Success,3,0,0,2,0,0,0,0,0
1 Claude 500 2of4,lucky-jacket.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,miami-beach-blues.md,Success,10,0,0,0,0,0,0,0,0
1 Claude 500 2of4,miles-of-heart.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,missing-it-by-that-much.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,monsters-in-the-moonlight.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,neural-gardens-of-olympus.md,Success,5,0,0,1,0,0,0,0,0
1 Claude 500 2of4,nice-to-meet-you.md,Success,8,0,0,0,1,0,0,0,0
1 Claude 500 2of4,now-you-see-it.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,ohana-among-the-stars.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,one-riot-one-ranger.md,Success,9,0,0,1,0,0,0,0,0
1 Claude 500 2of4,open-water.md,Failure,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,opening-nights-last-call.md,Success,10,0,0,0,0,0,0,0,0
1 Claude 500 2of4,operation-sombrero.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,paradise-found-at-christmas.md,Partial,3,0,0,0,0,5,0,0,0
1 Claude 500 2of4,perfect-crime-imperfect-hearts.md,Success,5,0,0,1,0,0,0,0,0
1 Claude 500 2of4,perfect-parts.md,Backfire,1,1,4,0,0,1,0,0,0
1 Claude 500 2of4,pins-and-providence.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,pressure-point.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,racing-in-her-brothers-colors.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,rails-through-the-storm.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,red-paint-on-sacred-stone.md,Partial,5,0,3,0,0,0,0,0,0
1 Claude 500 2of4,red-planet-new-dawn.md,Success,10,0,0,0,0,0,0,0,0
1 Claude 500 2of4,red-soil-rising.md,Backfire,0,0,0,0,0,0,0,0,4
1 Claude 500 2of4,reflections-in-glass-and-steel.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,rio-lobo-justice.md,Success,5,0,0,0,0,0,0,0,0
1 Claude 500 2of4,rising-gorge-showdown.md,Partial,2,0,0,1,0,1,0,0,1
1 Claude 500 2of4,salt-air-and-sacred-words.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,second-chance-rhythm.md,Success,10,0,0,0,0,0,0,0,0
1 Claude 500 2of4,secrets-we-keep-from-family.md,Success,8,0,0,0,1,0,0,0,0
1 Claude 500 2of4,seeds-of-freedom.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,seeds-of-unnatural-design.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,seven-spheres-of-light.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,shadows-in-the-pines.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,shutter-truth.md,Failure,0,0,0,0,0,0,0,0,0
1 Claude 500 2of4,signs-and-signals.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,so-fucking-what.md,Success,7,0,1,0,0,0,0,0,0
1 Claude 500 2of4,something-wonderful.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,songs-across-the-mountains.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,songs-from-the-bright-pavilion.md,Success,7,0,0,0,0,0,0,0,0
1 Claude 500 2of4,songs-in-the-cane-fields.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,songs-in-the-darkness.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,stand-up-for-tomorrow.md,Success,9,0,0,0,0,0,0,0,0
1 Claude 500 2of4,stars-born-from-lightning.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,stay-classy-san-diego.md,Success,8,0,0,1,0,0,0,0,0
1 Claude 500 2of4,steel-nano-revolution.md,Success,6,0,0,0,0,0,0,0,0
1 Claude 500 2of4,stepping-into-tomorrow.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,strange-days-at-millenniums-end.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,streets-of-second-chances.md,Success,7,1,0,0,0,0,0,0,0
1 Claude 500 2of4,summer-at-camp-hope.md,Success,8,0,0,0,0,0,0,0,0
1 Claude 500 2of4,summer-frequencies.md,Success,7,0,0,0,0,0,0,0,0
